scope,agriculture_share,msme_share,other_share,source_title,source_url,publication_date
representative_state_2024,0.52,0.39,0.09,"NABARD priority-sector breakdown: Agriculture 52%, MSME 39%, Other 9% (Rajiv Siwach, NABARD CGM)",https://www.business-standard.com/amp/industry/news/nabard-estimates-rs-3-62-trn-priority-sector-credit-potential-for-fy25-124030500676_1.html,2024-03-05
Maharashtra,0.226,0.649,0.125,"Maharashtra State Focus Paper 2026-27: Agriculture Rs 2.32L cr, MSME Rs 6.67L cr of Rs 10.28L cr total",https://indianmasterminds.com/news/maharashtra-credit-roadmap-agriculture-msme-rural-growth-2027-207192/,2026-05-29
Uttar Pradesh,0.360,0.580,0.060,"Uttar Pradesh FY26 consolidated credit potential: Agriculture Rs 2.77 trn, MSME Rs 4.46 trn of Rs 7.69 trn total",https://www.business-standard.com/industry/news/lending-to-msmes-in-uttar-pradesh-may-surge-52-to-rs-4-5-trn-in-fy25-125022000016_1.html,2025-02-20
