state,fiscal_year,credit_potential_inr_cr,publication_date,source_title,source_url
Kerala,FY2025-26,279000,2025-01-22,"NABARD Projects Rs. 2.79 Lakh Crore Credit Potential for Kerala Under Priority Sector for FY 2025-26 (PIB)",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2095133&reg=48&lang=2
Odisha,FY2026-27,315000,2026-01-28,"NABARD Estimates Odisha's Priority Sector Credit Potential At Rs 3.15 Lakh Cr For FY'27",https://www.devdiscourse.com/article/headlines/3792512-nabard-projects-rs-315-lakh-crore-credit-potential-for-odisha-by-2026-27
Maharashtra,FY2026-27,1028000,2026-05-29,"Maharashtra Launches Rs 10.28 Lakh Crore Credit Roadmap to Boost Agriculture, MSMEs and Rural Growth",https://indianmasterminds.com/news/maharashtra-credit-roadmap-agriculture-msme-rural-growth-2027-207192/
Uttar Pradesh,FY2025-26,769000,2025-02-20,"Lending to MSMEs in Uttar Pradesh may surge 52% to Rs 4.5 trn in FY25 (state consolidated priority-sector credit potential Rs 7.69 trn in FY26)",https://www.business-standard.com/industry/news/lending-to-msmes-in-uttar-pradesh-may-surge-52-to-rs-4-5-trn-in-fy25-125022000016_1.html
Assam,FY2026-27,92207.72,2026-01,"NABARD Projects Assam's Credit Potential at Rs 92,207.72 Crore for FY 2026-27",https://northeasttoday.in/northeast/assam/nabard-projects-assams-credit-potential-at-%E2%82%B992207-72-crore-for-fy-2026-27/
Tamil Nadu,FY2025-26,938000,2025-12,"NABARD projects Rs. 9.38 lakh cr Credit Potential for TN under priority sector for FY 2025-26",https://e2india.com/news/business/nabard-projects-rs-9-38-lakh-cr-credit-potential-for-tn-under-priority-sector-for-fy-2025-26/
